,image_name,intersection,ratio,width,height
0,M_HS_m1_711_00896,5586,1.8948439620081412,44,67
0,M_P_m1_721_00439,66144,0.18373333333333333,600,600
0,M_HS_m1_711_00918,4575,1.1426073926073925,91,44
0,M_HS_h2_1125_03157,171351,0.15862190904310863,676,1598
0,M_HS_m1_711_01851,2940,0.13287535026665462,74,299
0,M_P_m1_721_00431,45000,0.125,600,600
0,M_P_m2_815_00007,4662,0.01295,600,600
0,M_P_m1_712_00099,108447,0.36149,500,600
0,M_HS_e4_413_00368,38721,0.375203488372093,150,688
0,M_HA_m1_722_00014,0,0.0,575,407
0,M_HS_m3_921_02462,61938,1.0522041960417905,193,305
0,M_HS_h3_1232_00740,10719,0.46705882352941175,150,153
0,M_HS_m1_711_00997,14061,1.2174025974025975,150,77
0,M_P_m3_914_00016,9990,0.02775,600,600
0,M_HS_m1_711_02897,23691,1.6452083333333334,150,96
0,M_P_m1_721_00510,4104,0.0114,600,600
0,M_HS_h1_1025_00875,4698,0.7457142857142857,75,84
0,M_HA_m3_922_00051,0,0.0,305,542
0,M_HS_m2_823_00030,40005,1.8520833333333333,150,144
0,M_HS_h1_1022_00353,5811,0.23103530534351144,131,192
0,M_HA_m1_711_00087,0,0.0,935,660
0,M_HS_m1_711_04703,51918,0.9180901856763926,150,377
0,M_HS_m1_713_02563,5487,0.213468720821662,102,252
0,M_P_m1_723_00085,3618,0.01005,600,600
0,M_HA_m3_921_00188,0,0.0,613,460
0,M_HS_e4_424_00242,2997,0.10246153846153847,150,195
0,M_HS_h2_1125_02696,3774,0.07443786982248521,150,338
0,M_HS_m1_721_00362,7350,0.1566596329688599,117,401
0,M_HA_m3_922_00108,9477,0.0404956735391518,575,407
0,M_HA_h2_1112_00033,23058,0.02268595041322314,1200,847
0,M_HS_h2_1125_00204,2520,0.2465753424657534,70,146
0,M_HS_e6_623_00338,23601,0.9895597484276729,150,159
0,M_HS_e4_423_00025,472668,0.8970496134093989,657,802
0,M_HS_h1_1023_00399,16347,0.7954744525547445,150,137
0,M_P_m1_712_00015,24300,0.081,500,600
0,M_HS_m1_723_00592,3024,0.12444444444444444,150,162
0,M_HS_m2_822_00269,25722,1.3317800559179869,111,174
0,M_HS_h2_1125_03378,36372,0.7438036809815951,150,326
0,M_HA_m1_715_00040,102930,0.4190739089543306,589,417
0,M_HA_m1_715_00040,864,0.0035177291104298227,589,417
0,M_HS_m1_721_00048,5724,0.19175879396984924,150,199
0,M_HS_m1_712_02852,14085,0.38036726978125845,115,322
0,M_HS_h2_1113_00651,11706,0.2649375339489408,168,263
0,M_HA_m3_922_00060,0,0.0,613,460
0,M_HS_e5_521_00386,222126,1.1752698412698412,150,1260
0,M_HS_h1_1023_00466,14700,0.14189189189189189,370,280
0,M_HA_h2_1113_00047,0,0.0,935,688
0,M_HS_e5_513_00276,74586,0.6407731958762887,150,776
0,M_P_m1_723_00678,3564,0.0099,600,600
0,M_HS_h1_1017_00457,7776,0.3583410138248848,140,155
0,M_HA_m3_921_00014,0,0.0,613,276
0,M_HS_m3_911_00298,1626,0.6244239631336406,84,31
0,M_HS_m3_921_01825,59028,1.3430716723549487,150,293
0,M_HS_m1_711_02602,1638,0.36950146627565983,143,31
0,M_HS_e6_611_00072,18537,0.7444578313253012,150,166
0,M_HS_m3_921_02287,11913,0.35936651583710405,150,221
0,M_HS_h3_1234_00607,1344,0.05333333333333334,150,168
0,M_HS_m2_821_01841,9855,0.5866071428571429,150,112
0,M_HS_m3_921_00016,11379,0.4572082931533269,136,183
0,M_HA_m3_922_00147,0,0.0,935,702
0,M_HA_m3_924_00002,0,0.0,935,661
0,M_HS_m1_725_00595,27141,1.6979042852674382,115,139
0,M_HA_h1_1022_00014,0,0.0,547,387
0,M_HS_m2_821_03343,19266,0.6620618556701031,150,194
0,M_P_m2_821_00099,1782,0.00495,600,600
0,M_HS_m2_821_03188,7560,0.4097560975609756,150,123
0,M_HS_m1_721_02675,12177,0.5340789473684211,150,152
0,M_HA_m2_821_00020,7080,0.02510816369955316,613,460
0,M_P_h1_1024_00047,12720,0.035333333333333335,600,600
0,M_HS_h1_1017_00726,10512,0.24256409073078433,151,287
0,M_HS_h1_1017_00726,0,0.0,151,287
0,M_HS_h1_1023_02421,2916,0.34913793103448276,72,116
0,M_HS_m1_714_00835,7563,0.6148780487804878,150,82
0,M_HA_m2_821_00062,0,0.0,599,423
0,M_HS_m1_711_05205,3180,0.40706605222734255,124,63
0,M_HA_h1_1022_00069,5451,0.008819888841246855,935,661
0,M_HA_m1_723_00033,50271,0.08134005355683739,935,661
0,M_HS_h1_1015_00587,10212,0.8235483870967742,62,200
0,M_HS_m3_922_00143,15939,1.2075,150,88
0,M_P_m1_712_00079,27870,0.0929,500,600
0,M_HA_m2_823_00037,0,0.0,859,483
0,M_HA_m2_823_00037,0,0.0,859,483
0,M_P_h1_1016_00032,2460,0.0082,500,600
0,M_HS_h2_1125_00292,14448,0.3265084745762712,150,295
0,M_HA_m2_822_00029,0,0.0,613,460
0,M_HS_m1_712_04501,5535,0.3195912004157284,69,251
0,M_HS_m3_921_02901,27606,1.2028758169934641,150,153
0,M_HS_h2_1125_01214,27339,0.8029074889867841,150,227
0,M_HS_h3_1221_01641,6264,0.011861636958921697,359,1471
0,M_HS_h3_1213_00346,1665,0.07602739726027398,150,146
0,M_P_m2_821_00030,1782,0.00495,600,600
