,image_name,intersection
0,M_P_h1_1011_00339,0.0799601444762735
0,M_HA_m2_824_00046,0.05492575579532101
0,M_P_h3_1232_00103,0.015173067804646752
0,M_P_h1_1011_00373,0.10438224318857302
0,M_HS_h3_1221_01257,0.5103168054900729
0,M_P_h3_1215_00327,0.043105107621236656
0,M_HS_h2_1115_00805,0.7168641499035547
0,M_HS_h1_1016_01069,0.4741605028832243
0,M_HS_m2_821_02247,0.3890150733016725
0,M_P_h2_1126_00095,0.03331128331128331
0,M_HS_m2_822_01143,0.48963526633429544
0,M_P_h2_1121_00089,0.0502940957486412
0,M_P_h2_1127_00120,0.09541183790110828
0,M_HS_h1_1012_00658,0.42778897932085863
0,M_P_h2_1111_00488,0.08318246476141213
0,M_HS_h1_1016_01669,0.6706939990838295
0,M_HS_h1_1010_00114,0.2581184668989547
0,M_HS_h1_1019_02189,0.20208905992303464
0,M_HS_m2_822_02117,0.5857903357903358
0,M_HA_m2_824_00018,0.04800964187327824
0,M_HS_m1_721_00291,0.15732107398774064
0,M_HS_h1_1016_00452,0.6839838811630847
0,M_HS_h1_1012_00068,0.5323505323505323
0,M_HS_m1_721_00982,0.5217934104108994
0,M_HA_h2_1116_00022,0.01857297492332672
0,M_HS_h1_1015_01787,0.07703557581116931
0,M_HS_e6_622_00294,0.34403678032136903
0,M_HS_e6_611_00221,0.7001944444444445
0,M_P_m3_913_00145,0.02103048142652103
0,M_P_m1_711_00229,0.01915766538408048
0,M_HS_h1_1019_02125,0.5745366639806607
0,M_HA_m2_814_00045,0.039573812185540846
0,M_HS_m1_712_04232,0.1681012658227848
0,M_HS_e5_521_00365,0.2599306851506265
0,M_HA_h1_1010_00020,0.016623376623376623
0,M_HS_m1_712_03347,0.6787684284424832
0,M_P_h3_1213_00270,0.03867000851925475
0,M_P_h3_1217_00234,0.040667626874523424
0,M_P_h2_1111_00062,0.053305054789678334
0,M_P_h3_1225_00009,0.06199912741968817
0,M_P_m2_822_00550,0.0547030735709981
0,M_P_h2_1114_00078,0.04822154354864635
0,M_HA_m3_922_00097,0.005425916731683098
0,M_P_h1_1026_00325,0.014598888385296152
0,M_P_m2_813_00209,0.04996243425995492
0,M_P_h1_1016_00381,0.054901296280606623
0,M_HS_h1_1021_03597,0.1051336510567758
0,M_HS_h1_1015_01721,0.47218045112781953
0,M_P_h2_1116_00297,0.04184442958282407
0,M_HS_m3_911_00533,0.3562705744929383
0,M_HS_h1_1015_01254,0.5643924626380766
0,M_HS_h2_1114_00862,0.5323119777158775
0,M_HS_m1_713_03853,0.2802897445672894
0,M_HS_h1_1025_00291,0.47883597883597884
0,M_P_h2_1116_00136,0.0553225529969716
0,M_P_m3_921_00557,0.08783783783783784
0,M_P_m2_822_00233,0.059503882222446305
0,M_HS_e6_621_00096,0.7855130593546948
0,M_P_m1_724_00068,0.04773604773604773
0,M_P_h2_1116_00043,0.09311279414372198
0,M_P_m1_711_00716,0.04013551215623754
0,M_P_e4_413_00035,0.03705767623293396
0,M_P_h1_1015_00429,0.046110170254195
0,M_HS_m1_714_04490,0.44362745098039214
0,M_HS_h2_1114_01028,0.6363945000848752
0,M_HA_h2_1115_00030,0.048878625830497485
0,M_HS_h1_1010_00684,0.17082917082917082
0,M_P_h1_1023_00273,0.020005409913666793
0,M_HS_e5_524_00024,0.6083869986309011
0,M_HA_m3_921_00015,0.006443716192205946
0,M_HS_h2_1113_00734,0.28103309120258274
0,M_P_h2_1114_00079,0.007852530465595793
0,M_P_h2_1116_00088,0.13964565527065528
0,M_P_m1_714_00202,0.037876578190757945
0,M_P_h1_1026_00017,0.07121780327521954
0,M_HS_m1_713_01507,0.612278422982885
0,M_P_h1_1018_00041,0.06833895205988229
0,M_HS_h1_1018_01549,0.17391899288451013
0,M_P_h2_1126_00023,0.03262927769744543
0,M_HS_h2_1115_00574,0.5830584509829793
0,M_HA_m3_912_00060,0.005699923034307364
0,M_P_h2_1112_00299,0.05159236798240947
0,M_P_h1_1016_00654,0.05998315857470787
0,M_HS_m1_713_03394,0.06186868686868687
0,M_P_h2_1115_00248,0.030075530075530075
0,M_P_m1_712_00558,0.051740177953770186
0,M_HS_m1_714_03884,0.587318563789152
0,M_HA_h2_1111_00047,0.027436048799685163
0,M_HS_h1_1021_00911,0.6398496240601503
0,M_P_m1_714_00835,0.016064759386000965
0,M_HS_m1_712_02891,0.7479071121787872
0,M_HA_m2_821_00147,0.022686107798253377
0,M_P_h1_1019_00464,0.06402519023878248
0,M_HA_m2_814_00029,0.006542435590849614
0,M_HS_h1_1023_01578,0.4667623146819703
0,M_HA_m1_715_00080,0.008354606637270829
0,M_HS_h1_1014_00498,0.6385747813100064
0,M_P_m2_821_00883,0.060880468096962945
0,M_HS_h2_1113_01599,0.27999004479840717
0,M_HS_h1_1018_01784,0.31155465460782783
0,M_HS_h1_1010_00465,0.655956572769953
0,M_HS_h1_1014_00767,0.2960183447988326
0,M_P_m1_714_00539,0.06330049261083744
0,M_P_m1_714_01018,0.09261397075467427
0,M_HA_h1_1022_00071,0.042626918536009445
0,M_HA_m2_821_00017,0.027804417922700168
0,M_HS_h1_1015_00248,0.13050056739377128
0,M_HS_h2_1122_00346,0.5746734520780322
0,M_HS_m2_813_00478,0.27214334009465857
0,M_P_h1_1016_00210,0.038425723357230206
0,M_HA_h1_1021_00035,0.03101120283018868
0,M_P_h1_1015_00434,0.0429485557282817
0,M_HS_m1_711_01231,0.24459648577204168
0,M_P_m1_712_00744,0.05852799882650629
0,M_HA_m3_914_00064,0.04542361111111111
0,M_P_h1_1021_00816,0.027694950025047113
0,M_P_h1_1017_00086,0.03898128898128898
0,M_HS_h1_1018_02053,0.1702127659574468
0,M_P_h2_1115_00389,0.15541926068241857
0,M_HS_h3_1221_00466,0.10626780626780627
0,M_P_m1_711_00616,0.05278161957718253
0,M_P_m1_713_00243,0.005825242718446602
0,M_HS_m1_712_03860,0.5117236099148244
0,M_HS_h1_1018_02009,0.3330661108438886
0,M_HS_m1_713_02432,0.2865406006674082
0,M_HA_m3_921_00022,0.017831793874574623
0,M_P_m2_812_00099,0.044971919971919974
0,M_P_e4_423_00054,0.05228095949745434
0,M_HA_m2_821_00241,0.0407865806085538
0,M_HS_m2_814_00162,0.5947142857142858
0,M_HS_m2_821_00538,0.6241295791704511
0,M_HS_m1_712_02969,0.30873203175284275
0,M_P_h1_1023_00238,0.04712977440250168
0,M_HS_h1_1021_00381,0.042192948124955526
0,M_HA_m3_914_00011,0.024478230293685798
0,M_HA_m1_711_00133,0.030817629389485977
0,M_HS_h1_1017_01026,0.27849740932642486
0,M_HS_h1_1016_00433,0.4410612535612536
0,M_HS_m1_713_01317,0.5304129464285714
0,M_HS_m3_922_01478,0.4275628915183454
0,M_HS_m1_723_00715,0.25137566137566136
0,M_P_h2_1121_00033,0.07034723747946811
0,M_HS_h1_1018_00826,0.5003633720930233
0,M_HS_h1_1023_00926,0.037676668273149
0,M_P_h2_1114_00225,0.05888163174595335
0,M_P_m2_821_00796,0.05707057192205707
0,M_HS_h1_1010_00714,0.5489703315881327
0,M_HS_h1_1019_01408,0.39190548014077425
0,M_HS_h2_1115_01789,0.5363615776856342
0,M_HS_h2_1116_00874,0.025153495741731036
0,M_HS_h1_1011_00432,0.627997549448626
0,M_P_h2_1113_00498,0.035893601110992414
0,M_P_m1_723_00141,0.055896805896805894
0,M_HS_h1_1021_00815,0.18512820512820513
0,M_HS_h1_1015_00596,0.5515859923646133
0,M_HS_m1_714_02482,0.4826797385620915
0,M_HS_e6_625_00194,0.5960207612456747
0,M_HS_h3_1216_00212,0.6659283513097073
0,M_HA_h1_1015_00044,0.02208888888888889
0,M_HS_e5_514_00507,0.4698592978553168
0,M_P_m3_922_00360,0.04756756756756757
0,M_HA_m1_713_00034,0.035821256038647345
0,M_P_h1_1023_00770,0.04538988749515065
0,M_HS_m1_712_02874,0.5346513377028044
0,M_HS_h2_1121_01376,0.2797014724668863
0,M_HS_h1_1025_00835,0.2222222222222222
0,M_P_h3_1224_00009,0.07265203437452242
0,M_P_m3_923_00052,0.05245108988424496
0,M_HS_m1_721_01658,0.6000631313131313
0,M_P_h2_1122_00062,0.053382978493110654
0,M_HA_m3_921_00213,0.10295722675536614
0,M_P_m1_721_00243,0.031577169875042214
0,M_HS_m1_714_03399,0.34533227848101267
0,M_P_h1_1026_00240,0.11859657967192772
0,M_HA_m1_712_00136,0.01732075421342692
0,M_HS_m1_711_04802,0.26503923278116825
0,M_HS_h2_1121_01185,0.49572649572649574
0,M_HS_m1_714_01424,0.6008721761509865
0,M_P_m3_911_00388,0.08024372611793866
0,M_HS_m1_721_02139,0.06685433150740515
0,M_HS_e5_522_00294,0.7466866107767767
0,M_HA_m1_711_00165,0.1560505484096496
0,M_P_h2_1112_00525,0.03423265923265923
0,M_HA_m1_711_00014,0.029596830575623397
0,M_HA_m1_715_00091,0.018342177672955973
0,M_P_h2_1125_00310,0.033629493345133155
0,M_HS_h2_1125_00775,0.5237620072374036
0,M_P_h2_1126_00161,0.07075235511254468
0,M_P_h2_1116_00434,0.06026962727993656
0,M_P_h3_1231_00264,0.052937234755416576
0,M_P_h2_1112_00168,0.04990106760018265
0,M_HA_m3_921_00127,0.02723597418256614
0,M_HA_m2_814_00041,0.005171957671957672
0,M_HA_m3_913_00051,0.029539551357733177
0,M_HS_h1_1023_03272,0.3984375
0,M_HS_m1_712_02825,0.09369409660107335
0,M_P_h2_1127_00017,0.04613233923578751
0,M_P_m3_914_00246,0.04261954261954262
0,M_HA_m1_711_00030,0.06956007339351424
0,M_P_h2_1113_00530,0.06027924777924778
0,M_P_h2_1127_00216,0.1420377867746289
0,M_HS_m3_912_00178,0.3121872240211952
0,M_HS_h1_1023_01366,0.40297624913767616
0,M_HA_m1_714_00062,0.02338055883510429
